event_id,facility,month,event_type,severity,review_complete
S05859,Mesa Ridge,2025-02,Fall,Moderate,Y
S05862,Mesa Ridge,2025-02,Medication,Moderate,Y
S05877,Mesa Ridge,2025-02,Fall,Low,Y
S05880,Mesa Ridge,2025-02,Medication,Moderate,Y
S05905,Mesa Ridge,2025-03,Specimen,High,Y
S05914,Mesa Ridge,2025-03,Fall,High,Y
S05920,Mesa Ridge,2025-03,Medication,Low,Y
S05924,Mesa Ridge,2025-03,Fall,Moderate,N
S05925,Mesa Ridge,2025-03,Pressure injury,High,Y
S05932,Mesa Ridge,2025-03,Medication,High,Y
S05933,Mesa Ridge,2025-03,Specimen,Low,Y
S05935,Mesa Ridge,2025-03,Medication,Low,Y
S05948,Mesa Ridge,2025-03,Pressure injury,Low,Y
S05949,Mesa Ridge,2025-03,Fall,High,Y
S05966,Mesa Ridge,2025-03,Medication,Low,Y
S05984,Mesa Ridge,2025-04,Pressure injury,Low,Y
S05994,Mesa Ridge,2025-04,Fall,Low,Y
S06004,Mesa Ridge,2025-04,Specimen,Low,Y
S06018,Mesa Ridge,2025-04,Medication,Low,N
S06021,Mesa Ridge,2025-04,Pressure injury,Moderate,Y
S06023,Mesa Ridge,2025-04,Pressure injury,High,Y
S06029,Mesa Ridge,2025-04,Pressure injury,Low,Y
S06041,Mesa Ridge,2025-04,Medication,High,Y
S06044,Mesa Ridge,2025-04,Pressure injury,High,Y
S06073,Mesa Ridge,2025-05,Pressure injury,Low,Y
S06100,Mesa Ridge,2025-05,Medication,Low,Y
S06107,Mesa Ridge,2025-05,Pressure injury,High,Y
S06117,Mesa Ridge,2025-05,Fall,Low,Y
S06123,Mesa Ridge,2025-05,Pressure injury,Moderate,Y
S06148,Mesa Ridge,2025-05,Pressure injury,Low,Y
S06160,Mesa Ridge,2025-06,Pressure injury,Moderate,N
S06178,Mesa Ridge,2025-06,Fall,Low,Y
S06186,Mesa Ridge,2025-06,Medication,Moderate,Y
S06194,Mesa Ridge,2025-06,Specimen,Low,Y
S06201,Mesa Ridge,2025-06,Pressure injury,Low,Y
S06208,Mesa Ridge,2025-06,Pressure injury,Low,Y
S06233,Mesa Ridge,2025-06,Fall,Low,Y
S06239,Mesa Ridge,2025-07,Medication,Moderate,Y
S06243,Mesa Ridge,2025-07,Specimen,Low,Y
S06244,Mesa Ridge,2025-07,Medication,Moderate,Y
S06247,Mesa Ridge,2025-07,Pressure injury,Low,Y
S06255,Mesa Ridge,2025-07,Medication,High,Y
S06271,Mesa Ridge,2025-07,Medication,Moderate,Y
S06288,Mesa Ridge,2025-07,Pressure injury,Moderate,Y
S06296,Mesa Ridge,2025-07,Specimen,High,Y
S06301,Mesa Ridge,2025-07,Fall,High,Y
S06302,Mesa Ridge,2025-07,Fall,High,Y
S06321,Mesa Ridge,2025-08,Pressure injury,Low,Y
S06333,Mesa Ridge,2025-08,Fall,High,Y
S06342,Mesa Ridge,2025-08,Pressure injury,Moderate,Y
S06357,Mesa Ridge,2025-08,Medication,Moderate,Y
S06358,Mesa Ridge,2025-08,Pressure injury,Low,Y
S06361,Mesa Ridge,2025-08,Specimen,High,Y
S06395,Mesa Ridge,2025-08,Pressure injury,High,Y
S06397,Mesa Ridge,2025-08,Fall,Low,Y
S06411,Mesa Ridge,2025-09,Medication,Moderate,Y
S06414,Mesa Ridge,2025-09,Specimen,Low,Y
S06419,Mesa Ridge,2025-09,Specimen,Low,Y
S06434,Mesa Ridge,2025-09,Medication,Low,Y
S06437,Mesa Ridge,2025-09,Medication,Low,Y
S06444,Mesa Ridge,2025-09,Specimen,Moderate,Y
S06454,Mesa Ridge,2025-09,Specimen,Moderate,Y
S06460,Mesa Ridge,2025-09,Specimen,Low,Y
S06470,Mesa Ridge,2025-09,Fall,High,Y
S06472,Mesa Ridge,2025-09,Medication,Moderate,Y
S06474,Mesa Ridge,2025-09,Pressure injury,High,Y
S06476,Mesa Ridge,2025-09,Medication,High,N
S06480,Mesa Ridge,2025-09,Specimen,Low,Y
S06483,Mesa Ridge,2025-09,Fall,Moderate,Y
S06491,Mesa Ridge,2025-10,Medication,Low,Y
S06497,Mesa Ridge,2025-10,Medication,Low,Y
S06511,Mesa Ridge,2025-10,Pressure injury,Low,Y
S06540,Mesa Ridge,2025-10,Pressure injury,Low,Y
S06583,Mesa Ridge,2025-11,Medication,High,Y
S06590,Mesa Ridge,2025-11,Fall,Low,Y
S06631,Mesa Ridge,2025-11,Pressure injury,Low,Y
S06657,Mesa Ridge,2025-11,Pressure injury,Low,Y
S06659,Mesa Ridge,2025-11,Pressure injury,Moderate,Y
S06682,Mesa Ridge,2025-12,Fall,Moderate,Y
S06706,Mesa Ridge,2025-12,Pressure injury,Moderate,Y
S06709,Mesa Ridge,2025-12,Specimen,High,Y
S06732,Mesa Ridge,2025-12,Medication,Low,Y
S06734,Mesa Ridge,2025-12,Fall,Low,Y
